"org","#816 (PR #947): ULFM Slice 1 (no-no)","#816 (PR #947): ULFM Slice 1 (1st)"
"Meta","Yes",""
"Sandia National Laboratory","Yes",""
"Ohio State University","Yes",""
"Forschungszentrum Julich","Yes",""
"INRIA","Yes",""
"CIDS, ZIH, TUD Dresden University of Technology","Yes",""
"The Texas Advanced Computing Center","Yes",""
"Eviden","Yes",""
"Oak Ridge National Laboratory","Yes",""
"Argonne National Laboratory","Abstain",""
"Stony Brook University","Yes",""
"University of Illinois Urbana-Champaign","Yes",""
"University of New Mexico","Yes",""
"CEA","Yes",""
"The University of Tokyo","Yes",""
"Lawrence Livermore National Laboratory","Yes",""
"Technical University of Munich","Yes",""
"Queen's University","Yes",""
"HLRS, University of Stuttgart","Yes",""
"ASC Research Center, TU Wien","Yes",""
"ParTec","Yes",""
"Los Alamos National Laboratory","Yes",""
"AMD","Yes",""
"HPE","Yes",""
"Karlsruhe Institute of Technology (KIT)","Yes",""
"Kichakato Kizito","Yes",""
"Intel Corporation","abstain",""
"NVIDIA","abstain",""
"Tennessee Technological University","abstain",""
