"org","#583 (PR #877): ULFM Fault Tolerance (slice 3: shrink) (no-no)","#1102 (PR #1136): Caching wording - desire to tweak (no-no)","#1109 (PR #1143): Multi-app mpiexec specification should refer to MPI_COMM_SPAWN_MULTIPLE (errata)","#1102 (PR #1136): Caching wording - desire to tweak (errata)","#583 (PR #877): ULFM Fault Tolerance (slice 3: shrink) (1st)"
"Meta","Yes","Yes","Yes","",""
"INRIA","Yes","Abstain","Yes","",""
"The University of Tokyo","Yes","Yes","Yes","",""
"ParTec","Yes","Yes","Yes","",""
"Argonne National Laboratory","Yes","Abstain","Yes","",""
"Lawrence Livermore National Laboratory","Abstain","Yes","Yes","",""
"Los Alamos National Laboratory","Yes","Yes","Yes","",""
"Karlsruhe Institute of Technology (KIT)","Yes","Yes","Yes","",""
"Stony Brook University","Yes","Yes","Yes","",""
"University of New Mexico","Abstain","Yes","Yes","",""
"CEA","Yes","Yes","Yes","",""
"Forschungszentrum Julich","Yes","Yes","Yes","",""
"Eviden","Yes","Yes","Yes","",""
"Oak Ridge National Laboratory","Yes","Yes","Yes","",""
"Technical University of Munich","Yes","Yes","Yes","",""
"HLRS, University of Stuttgart","Yes","Yes","Yes","",""
"University of Illinois Urbana-Champaign","Yes","Yes","Yes","",""
"Ohio State University","Yes","Yes","Yes","",""
"AMD","Yes","Yes","Yes","",""
"Tennessee Technological University","Yes","Abstain","Abstain","",""
"Sandia National Laboratory","Yes","Yes","Yes","",""
"Intel Corporation","Abstain","Yes","Yes","",""
"ASC Research Center, TU Wien","Yes","Yes","Yes","",""
"RWTH Aachen University","Yes","Yes","Yes","",""
"CIDS, ZIH, TUD Dresden University of Technology","Yes","Yes","Yes","",""
"Kichakato Kizito","yes","yes","yes","",""
"HPE","abstain","abstain","abstain","",""
