"org","#844: Update Procedures for Side Document Versions (no-no)","#838 (PR #964): Text for MPI_GET_HW_RESOURCE_INFO needs clarification (no-no)","#823 (PR #955): Make examples use URI format as described in MPI_GET_HW_RESOURCE_INFO (no-no)","#824 (PR #957): Add example for MPI_GET_HW_RESOURCE_INFO (no-no)","#760 (PR #904): RMA - Contradicting rules about use of MPI_REQUEST_FREE (errata)","#844: Update Procedures for Side Document Versions (procedure)","#838 (PR #964): Text for MPI_GET_HW_RESOURCE_INFO needs clarification (1st)","#823 (PR #955): Make examples use URI format as described in MPI_GET_HW_RESOURCE_INFO (1st)","#824 (PR #957): Add example for MPI_GET_HW_RESOURCE_INFO (1st)","#809: Memory Allocation Kinds side document (1st)"
"INRIA","Yes","Yes","Yes","Yes","Yes","","","","",""
"Meta","Yes","Yes","Yes","Yes","Yes","","","","",""
"Cornelis Networks","Yes","Yes","Yes","Yes","Yes","","","","",""
"Forschungszentrum Julich","Yes","Yes","Yes","Yes","Yes","","","","",""
"ParTec","Yes","Yes","Yes","Yes","Yes","","","","",""
"Lawrence Livermore National Laboratory","Yes","Yes","Yes","Yes","Yes","","","","",""
"ZIH, TU Dresden","Yes","Yes","Yes","Yes","Yes","","","","",""
"ParaTools SAS","Yes","Yes","Yes","Yes","Yes","","","","",""
"The Texas Advanced Computing Center","Yes","Yes","Yes","Yes","Yes","","","","",""
"RWTH Aachen University","Yes","Yes","Yes","Yes","Yes","","","","",""
"AMD","Yes","Yes","Yes","Yes","Yes","","","","",""
"The University of Tokyo","Yes","Yes","Yes","Yes","Yes","","","","",""
"Oak Ridge National Laboratory","Yes","Yes","Yes","Yes","Yes","","","","",""
"Kichakato Kizito","Yes","Yes","Yes","Yes","Yes","","","","",""
"Stony Brook University","Yes","Yes","Yes","Yes","Yes","","","","",""
"Queen's University","Yes","Yes","Yes","Yes","Yes","","","","",""
"Argonne National Laboratory","Yes","Yes","Yes","Yes","Yes","","","","",""
"Sandia National Laboratory","Yes","Yes","Yes","Yes","Yes","","","","",""
"Eviden","Yes","Yes","Yes","Yes","Yes","","","","",""
"Intel Corporation","Yes","Yes","Yes","Yes","Yes","","","","",""
"VSC Research Center, TU Wien","Yes","Yes","Yes","Yes","Yes","","","","",""
"HLRS, University of Stuttgart","Yes","Yes","Yes","Yes","Yes","","","","",""
"Technical University of Munich","Yes","Yes","Yes","Yes","Yes","","","","",""
"CEA","Yes","Yes","Yes","Yes","Yes","","","","",""
"HPE","abstain","abstain","abstain","abstain","abstain","","","","",""
"Los Alamos National Laboratory","abstain","abstain","abstain","abstain","abstain","","","","",""
"NVIDIA","abstain","abstain","abstain","abstain","abstain","","","","",""
"Ohio State University","abstain","abstain","abstain","abstain","abstain","","","","",""
"University of Tennessee, Knoxville","abstain","abstain","abstain","abstain","abstain","","","","",""
"Université Grenoble Alpes","abstain","abstain","abstain","abstain","abstain","","","","",""
