"org","#168: Errata, MPI_INIT argc/argv values (errata)","#313: Errata, Catastrophic errors can cause MPI returning wrong outputs (errata)","#311: Errata, Fix wrong term process group with Cartesian structure in section 7.5.5 (errata)","#314: Errata, Fix undefined behaviour of MPI_Cart/Graph*_get caused by binding to specific communicator creation calls (errata)","#315: Errata, Fix not precisely defined topology information for MPI_Cart_sub (errata)","#327: Errata, Large Count Fixes (no-no)","#327: Errata, Large Count Fixes (errata)","#168: Errata, MPI_INIT argc/argv values (errata)","#313: Errata, Catastrophic errors can cause MPI returning wrong outputs (errata)","#311: Errata, Fix wrong term process group with Cartesian structure in section 7.5.5 (errata)","#314: Errata, Fix undefined behaviour of MPI_Cart/Graph*_get caused by binding to specific communicator creation calls (errata)","#315: Errata, Fix not precisely defined topology information for MPI_Cart_sub (errata)","Ballot to approve release candidate (1st)","#304: Create a standalone document for the summary of the semantics of all operation-related MPI procedures (1st)"
"Technical University of Munich","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"Los Alamos National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"IBM","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"University of Basel","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"ParaTools SAS","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"Intel Corporation","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"INRIA","Yes","Yes","Yes","Yes","Yes","Abstain","","Yes","Yes","Yes","Yes","Yes","","Yes"
"University of Tennessee, Chattanooga","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"NVIDIA","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"University of Tennessee, Knoxville","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"VSC Research Center, TU Wien","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"University of Alabama at Birmingham","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"NEC Corporation","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"Oak Ridge National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"Lawrence Livermore National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"EPCC, The University of Edinburgh","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"Sandia National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"Argonne National Laboratory","Yes","Yes","Yes","Yes","Abstain","Yes","","Yes","Yes","Yes","Yes","Abstain","","Yes"
"Cisco","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"Tennessee Tech University","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"Atos","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"RWTH Aachen University","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"Fujitsu","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"University of New Mexico","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"The Texas Advanced Computing Center","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"HLRS, University of Stuttgart","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"CEA","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"University of Illinois Urbana-Champaign","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
"Forschungszentrum Julich","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes"
