org,"(No No Vote) Procedures 2.2 (MPI Companion Documents)","Procedures 2.2 (MPI Companion Documents)","(No No Vote) Procedures 3.0 (Virtual Meetings and Other Items)","Procedures 3.0 (Virtual Meetings and Other Items)","#60: MPI_T Deprecate Error Code MPI_T_ERR_INVALID_ITEM","#63: Info Query Update (MPI_Comm/File/Win_get_info)"
"OSU",yes,yes,yes,yes,yes,yes
"Argonne",yes,yes,yes,yes,yes,no
"Fujitsu",yes,yes,yes,yes,yes,yes
"Paratools",yes,yes,yes,yes,yes,yes
"TU Munich",yes,yes,yes,yes,yes,yes
"CEA",yes,yes,yes,yes,yes,yes
"Edinburgh",yes,yes,yes,yes,yes,yes
"NEC",yes,yes,yes,yes,yes,yes
"RIKEN",yes,yes,yes,yes,yes,yes
"Los Alamos",yes,yes,yes,yes,yes,yes
"INRIA",yes,yes,yes,yes,yes,yes
"Intel",yes,yes,yes,yes,yes,yes
"Mellanox",yes,yes,yes,yes,yes,yes
"UTC",yes,yes,yes,yes,yes,yes
"Cray",yes,yes,yes,yes,yes,yes
"Sandia",yes,yes,yes,yes,yes,yes
"Lenovo",yes,yes,yes,yes,yes,abstain
"Livermore",yes,yes,yes,yes,yes,yes
"ATOS/BULL",yes,yes,yes,yes,yes,yes
