"org","#773 (PR #986): Two ways in which the default for mpi_memory_alloc_kinds can be interpreted (no-no)","#751 (PR #977): MPI needs a standard ABI (no-no)","#654 (PR #978): a standalone MPI_F08 is painful without an ABI (no-no)","#773 (PR #986): Two ways in which the default for mpi_memory_alloc_kinds can be interpreted (errata)","#854 (PR #988): UB for passing uninitialized variables to 'significant only at root' arguments (errata)","#751 (PR #977): MPI needs a standard ABI (2nd)","#654 (PR #978): a standalone MPI_F08 is painful without an ABI (2nd)","#850 (PR #973): Need to add text in description of MPI_Session_init that it is a local operation (2nd)","#819 (PR #960): Example for Fortran 2008 Wrapper is not in Example environment (2nd)"
"Meta","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"INRIA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Queen's University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Technical University of Munich","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ParTec","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HLRS, University of Stuttgart","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"The University of Tokyo","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NVIDIA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Oak Ridge National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of Tennessee, Knoxville","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes"
"Lawrence Livermore National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Cornelis Networks","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of New Mexico","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"RWTH Aachen University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"CEA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of Illinois Urbana-Champaign","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"AMD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Intel Corporation","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Los Alamos National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"VSC Research Center, TU Wien","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kichakato Kizito","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes"
"Ohio State University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Université Grenoble Alpes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ZIH, TU Dresden","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Forschungszentrum Julich","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Karlsruhe Institute of Technology (KIT)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Argonne National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"The Texas Advanced Computing Center","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HPE","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Stony Brook University","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes"
