"org","#96: Update to Semantic Terms Section (no-no)","#263: MPI Exception Clarification (no-no)","#120: MPI_Cart_create_weighted / Topology aware Cartesian communicators (no-no)","#169: Remove comparison with POSIX calls (errata)","#268: MPI_T Sessions Scope (errata)","#263: MPI Exception Clarification (errata)","#298: Clarify where TYPE-MPI_Status type must be defined (errata)","#259: Error Class and Code Advice to Implementors (1st)","#120: MPI_Cart_create_weighted / Topology aware Cartesian communicators (1st)","#96: Update to Semantic Terms Section (1st)"
"University of Basel","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of New Mexico","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of Tennessee, Chattanooga","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"RIKEN","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of Tennessee, Knoxville","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Oak Ridge National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"VSC Research Center, TU Wien","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"EPCC, The University of Edinburgh","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"INRIA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Los Alamos National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NEC Corporation","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes"
"CEA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NVIDIA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ParaTools SAS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Cisco","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Abstain","Yes"
"Lawrence Livermore National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes"
"Argonne National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes"
"RWTH Aachen University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Technical University of Munich","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes"
"Forschungszentrum Julich","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HPE","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain"
"University of Alabama at Birmingham","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HLRS, University of Stuttgart","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Sandia National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Abstain"
"Pacific Northwest National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Fujitsu","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain"
"Tennessee Tech University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes"
"Intel Corporation","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes"
"Ohio State University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"IBM","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
